id;structure_type;structure_label;problem_text;step_1_label;step_1_detail;step_1_formula;step_2_label;step_2_detail;step_2_formula;step_3_label;step_3_detail;step_3_formula;distractor_1_label;distractor_1_detail;distractor_1_formula;distractor_2_label;distractor_2_detail;distractor_2_formula;distractor_3_label;distractor_3_detail;distractor_3_formula;subq_1;subq_2;subq_3;subq_distractor_1;subq_distractor_2;error_step_index;error_wrong_label;error_wrong_detail;error_wrong_formula;flow_1_type;flow_1_text;flow_2_type;flow_2_text;flow_3_type;flow_3_text;flow_4_type;flow_4_text;flow_5_type;flow_5_text;flow_6_type;flow_6_text
1;A;"Context analyseren → Schaarste identificeren → Opofferingskosten bepalen";"In Kaapstad is er een ernstig watertekort. Een huishouden heeft een dagelijkse waterlimiet van 50 liter. Douchen kost 15 liter per beurt, de was doen kost 25 liter per beurt. Het gezin kiest voor 2 keer douchen en 1 keer wassen. Bepaal de opofferingskosten van deze keuze.";Analyseer de context;"Water is een schaars goed in Kaapstad: de beschikbare hoeveelheid (50 liter per dag) is beperkt ten opzichte van de behoeften. Het gezin moet kiezen hoe ze het water verdelen.";;Identificeer de schaarste;"Het budget is 50 liter. Douchen kost 15 liter, wassen 25 liter. Bij 2 keer douchen (30 liter) en 1 keer wassen (25 liter) is het totaal 55 liter — dat past niet. Er is een tekort van 5 liter. Het gezin moet de was beperken of minder douchen.";"2 x 15 + 1 x 25 = 55 > 50";Bepaal de opofferingskosten;"Als het gezin kiest voor 2 keer douchen (30 liter), resteert 50 - 30 = 20 liter voor de was. Dat is niet genoeg voor een volle wasbeurt (25 liter). De opofferingskosten van de 2e douchebeurt zijn 25 - (50 - 30) = de onmogelijkheid om een volle was te draaien.";"opofferingskosten 2e douche = 1 gemiste wasbeurt";Bereken het totale waterverbruik;"15 + 15 + 25 = 55 liter totaal verbruik.";;Bepaal de waterprijs;"Als water 0,05 euro per liter kost, betaalt het gezin 50 x 0,05 = 2,50 euro per dag.";;Bereken het gemiddelde verbruik per activiteit;"55 / 3 = 18,3 liter gemiddeld per activiteit.";;Waarom is water in deze situatie een schaars goed?;Hoeveel water heeft het gezin nodig voor de gewenste activiteiten en hoeveel is beschikbaar?;Wat geeft het gezin op als het kiest voor 2 keer douchen?;Hoeveel kost het waterverbruik in euro's per dag?;Wat is het gemiddelde verbruik per activiteit?;2;"Identificeer de schaarste verkeerd";"Het gezin heeft 50 liter en gebruikt 2 x 15 + 1 x 25 = 55 liter, maar er is geen schaarste want water komt uit de kraan. Het gezin hoeft geen keuze te maken.";;cause;"Kaapstad heeft een waterlimiet van 50 liter per dag per huishouden";reasoning;"Douchen kost 15 liter, wassen 25 liter — de behoeften overtreffen het aanbod";reasoning;"Het gezin moet kiezen: niet alles kan tegelijk";effect;"2 keer douchen (30 liter) laat maar 20 liter over voor de was";effect;"De opofferingskosten van de 2e douchebeurt zijn een gemiste wasbeurt";;
2;A;"Context analyseren → Schaarste identificeren → Opofferingskosten bepalen";"Emma zit in 4 vwo en moet een profiel kiezen. Ze twijfelt tussen Economie & Maatschappij (EM) en Natuur & Gezondheid (NG). Met EM kan ze later bedrijfskunde studeren (verwacht startsalaris 3200 euro/maand). Met NG kan ze geneeskunde studeren (verwacht startsalaris 4500 euro/maand, maar 2 jaar langer studeren). Wat zijn de opofferingskosten van de keuze voor EM?";Analyseer de context;"Emma heeft een schaars goed: ze kan maar een profiel kiezen. Dit is schaarste in keuzemogelijkheden — als ze EM kiest, sluit ze NG uit. Beide opties hebben waarde, dus er zijn opofferingskosten.";;Identificeer de schaarste;"De schaarste is dat Emma maar een profiel kan kiezen. Het beste alternatief voor EM is NG (geneeskunde). De opofferingskosten moeten dus worden uitgedrukt in wat ze misloopt door niet voor NG te kiezen.";;Bepaal de opofferingskosten;"De opofferingskosten van EM zijn het verschil in verwacht inkomen: 4500 - 3200 = 1300 euro per maand minder startsalaris, maar ook 2 jaar eerder werken. De opofferingskosten zijn het saldo van het hogere salaris bij NG minus het voordeel van eerder beginnen.";"opofferingskosten EM = misgelopen hoger salaris bij NG";Bereken het totale inkomensverschil over 10 jaar;"1300 x 12 x 10 = 156.000 euro verschil, maar dit houdt geen rekening met de 2 extra studiejaren.";;Bepaal welk profiel het beste is;"NG is objectief beter want het salaris is hoger.";;Bereken het gemiddelde salaris;"(3200 + 4500) / 2 = 3850 euro gemiddeld.";;Waarom is de profielkeuze een voorbeeld van schaarste?;Wat is het beste alternatief als Emma voor EM kiest?;Welke factoren bepalen de opofferingskosten van de keuze voor EM?;Hoeveel verdient Emma meer met NG over 10 jaar?;Welk profiel is objectief het beste?;3;"Bepaal de opofferingskosten verkeerd";"De opofferingskosten van EM zijn 3200 euro per maand, want dat is wat Emma verdient. Ze geeft 3200 euro op door niet te werken.";"opofferingskosten = 3200 euro";cause;"Emma moet kiezen tussen EM en NG — ze kan maar een profiel kiezen";reasoning;"Het beste alternatief voor EM is NG met geneeskunde";reasoning;"Opofferingskosten = wat je misloopt bij het beste alternatief";effect;"EM kost een hoger startsalaris maar levert eerder werken op";effect;"De opofferingskosten zijn het misgelopen salarisverschil minus het voordeel van eerder werken";;
3;A;"Context analyseren → Schaarste identificeren → Opofferingskosten bepalen";"In een ziekenhuis zijn er 5 IC-bedden beschikbaar. Er liggen 4 patienten op de IC. Er komen 3 nieuwe spoedgevallen binnen die allemaal een IC-bed nodig hebben. Het ziekenhuis moet kiezen wie het laatste bed krijgt. Wat is hier schaars en wat zijn de opofferingskosten?";Analyseer de context;"Het ziekenhuis heeft te maken met schaarste: er is 1 IC-bed beschikbaar, maar er zijn 3 patienten die een bed nodig hebben. Niet iedereen kan geholpen worden op de IC.";;Identificeer de schaarste;"Het schaarse goed is IC-capaciteit. Er is 1 bed voor 3 patienten. Het ziekenhuis moet een keuze maken — dit is het economische keuzeprobleem toegepast op de gezondheidszorg.";;Bepaal de opofferingskosten;"De opofferingskosten van het toewijzen van het bed aan patient A zijn de gemiste IC-zorg voor patienten B en C. Het beste alternatief is de patient met de op-een-na-hoogste urgentie niet op de IC opnemen.";"opofferingskosten = gemiste zorg voor de best alternatieve patient";Bereken de kosten per IC-bed;"Een IC-bed kost 2500 euro per dag, dus 5 bedden kosten 12.500 euro per dag.";;Bepaal de wachttijd;"3 patienten voor 1 bed betekent een gemiddelde wachttijd van 3 dagen.";;Bereken het percentage bezetting;"4/5 x 100% = 80% bezetting voor de nieuwe patienten.";;Waarom is IC-capaciteit in deze situatie schaars?;Welk keuzeprobleem ontstaat er door de schaarste?;Wat zijn de opofferingskosten van het toewijzen van het bed aan een specifieke patient?;Hoeveel kost een IC-bed per dag?;Wat is de gemiddelde wachttijd per patient?;1;"Analyseer de context verkeerd";"Er zijn 5 IC-bedden en 4 patienten, dus er is 1 bed over. Er is geen schaarste want er is nog een bed vrij.";;cause;"Er zijn 5 IC-bedden, 4 bezet, en 3 nieuwe spoedgevallen";reasoning;"Slechts 1 bed is beschikbaar voor 3 patienten — er is schaarste";reasoning;"Het ziekenhuis moet kiezen wie het bed krijgt";effect;"De opofferingskosten zijn de gemiste zorg voor de niet-gekozen patienten";effect;"Dit illustreert het economische keuzeprobleem in de gezondheidszorg";;
4;B;"Keuzeprobleem herkennen → Budgetlijn opstellen → Opofferingskosten berekenen";"Een recruitmentbureau heeft een maandbudget van 6000 euro voor werving. Een vacature op LinkedIn kost 200 euro, een vacature op Indeed kost 150 euro. Het bureau wil zoveel mogelijk vacatures plaatsen. Stel de budgetlijn op en bereken de opofferingskosten.";Herken het keuzeprobleem;"Het bureau heeft een beperkt budget (6000 euro) en twee goederen (LinkedIn-vacatures a 200 euro en Indeed-vacatures a 150 euro). Dit is een klassiek budgetprobleem met schaarste.";;Stel de budgetlijn op;"Budgetvergelijking: 6000 = 200q1 + 150q2. Snijpunt horizontale as: q1 = 6000/200 = 30 LinkedIn-vacatures. Snijpunt verticale as: q2 = 6000/150 = 40 Indeed-vacatures.";"6000 = 200q1 + 150q2, q1 = 30, q2 = 40";Bereken de opofferingskosten;"De ruilvoet = p1/p2 = 200/150 = 4/3. De opofferingskosten van 1 LinkedIn-vacature zijn 4/3 Indeed-vacature (oftewel: 3 LinkedIn-vacatures opgeven levert 4 Indeed-vacatures op).";"opofferingskosten 1 LinkedIn = 4/3 Indeed-vacature";Bereken het totaal aantal vacatures bij gelijke verdeling;"q1 = 15, q2 = 20: totaal 35 vacatures. Controle: 15 x 200 + 20 x 150 = 3000 + 3000 = 6000.";;Bepaal de kosten per sollicitant;"Als elke vacature 10 sollicitanten oplevert, kost elke sollicitant 6000/(30 x 10) = 20 euro.";;Bereken het gemiddelde van de vacatureprijzen;"(200 + 150) / 2 = 175 euro gemiddeld per vacature.";;Waarom is dit een keuzeprobleem met schaarste?;Hoeveel vacatures van elk type kan het bureau maximaal plaatsen?;Hoeveel Indeed-vacatures moet het bureau opgeven voor een extra LinkedIn-vacature?;Hoeveel vacatures plaatst het bureau bij een gelijke budgetverdeling?;Wat is de gemiddelde prijs per vacature?;3;"Bereken de opofferingskosten verkeerd";"De opofferingskosten van 1 LinkedIn-vacature zijn 200 - 150 = 50 euro, oftewel het prijsverschil tussen de twee platforms.";"opofferingskosten = 50 euro";cause;"Het bureau heeft 6000 euro voor vacatures op LinkedIn (200 euro) en Indeed (150 euro)";reasoning;"Budgetlijn: 6000 = 200q1 + 150q2, snijpunten: 30 en 40";reasoning;"Ruilvoet = 200/150 = 4/3 Indeed-vacatures per LinkedIn-vacature";effect;"1 LinkedIn-vacature opgeven levert 4/3 Indeed-vacature op";effect;"De opofferingskosten worden uitgedrukt in het alternatieve goed, niet in euro's";;
5;B;"Keuzeprobleem herkennen → Budgetlijn opstellen → Opofferingskosten berekenen";"Een boer heeft 120 hectare landbouwgrond. Tarwe verbouwen kost 1 hectare per ton, mais verbouwen kost 2 hectare per ton. De boer moet kiezen hoe hij zijn grond verdeelt. Stel de budgetlijn op en bepaal de opofferingskosten.";Herken het keuzeprobleem;"De boer heeft een schaars middel: 120 hectare grond. Elke hectare die hij voor tarwe gebruikt, kan niet voor mais worden gebruikt. Dit is een keuzeprobleem met schaarste.";;Stel de budgetlijn op;"Budgetvergelijking: 120 = 1 x q1 + 2 x q2 (q1 = ton tarwe, q2 = ton mais). Snijpunt horizontale as: q1 = 120/1 = 120 ton tarwe. Snijpunt verticale as: q2 = 120/2 = 60 ton mais.";"120 = q1 + 2q2, q1 = 120, q2 = 60";Bereken de opofferingskosten;"De ruilvoet = 1/2 = 0,5. De opofferingskosten van 1 ton mais zijn 2 ton tarwe (want mais kost 2 hectare, tarwe 1 hectare). Andersom: 1 ton tarwe opgeven levert 0,5 ton mais op.";"opofferingskosten 1 ton mais = 2 ton tarwe";Bereken de opbrengst in euro's;"Tarwe levert 250 euro per ton, mais 400 euro per ton. Maximaal: 120 x 250 = 30.000 of 60 x 400 = 24.000 euro.";;Bepaal de optimale verdeling;"Kies de combinatie die de meeste winst oplevert.";;Bereken de totale productie bij halve verdeling;"60 ton tarwe + 30 ton mais = 90 ton totaal.";;Waarom is landbouwgrond hier het schaarse middel?;Hoeveel tarwe en mais kan de boer maximaal afzonderlijk produceren?;Hoeveel ton tarwe moet de boer opgeven voor een extra ton mais?;Wat levert volledige tarwe- of maisproductie op in euro's?;Wat is de totale productie als de boer zijn grond gelijk verdeelt?;2;"Stel de budgetlijn verkeerd op";"Budgetvergelijking: 120 = 2q1 + 1q2. Tarwe kost 2 hectare en mais 1 hectare. Snijpunten: q1 = 60 tarwe, q2 = 120 mais.";"120 = 2q1 + q2";cause;"De boer heeft 120 hectare, tarwe kost 1 ha/ton, mais 2 ha/ton";reasoning;"Budgetlijn: 120 = q1 + 2q2, snijpunten: 120 tarwe of 60 mais";reasoning;"Ruilvoet = 1/2: 1 ton tarwe opgeven levert 0,5 ton mais";effect;"De opofferingskosten van 1 ton mais zijn 2 ton tarwe";effect;"De boer moet meer grond opgeven voor mais dan voor tarwe";;
6;B;"Keuzeprobleem herkennen → Budgetlijn opstellen → Opofferingskosten berekenen";"Een school heeft 4800 euro beschikbaar voor excursies. Een museumbezoek kost 12 euro per leerling, een bedrijfsbezoek kost 16 euro per leerling. Er gaan 30 leerlingen mee. Stel de budgetlijn op per leerling en bereken de opofferingskosten.";Herken het keuzeprobleem;"Het budget per leerling is 4800/30 = 160 euro. De school moet kiezen tussen museumbezoeken (12 euro) en bedrijfsbezoeken (16 euro). Het budget is schaars: niet alles kan.";"budget per leerling = 160 euro";Stel de budgetlijn op;"Budgetvergelijking: 160 = 12q1 + 16q2. Snijpunt horizontale as: q1 = 160/12 = 13,3 museumbezoeken. Snijpunt verticale as: q2 = 160/16 = 10 bedrijfsbezoeken.";"160 = 12q1 + 16q2, q1 ≈ 13, q2 = 10";Bereken de opofferingskosten;"De ruilvoet = p1/p2 = 12/16 = 3/4. De opofferingskosten van 1 bedrijfsbezoek zijn 16/12 = 4/3 museumbezoek. Oftewel: 3 bedrijfsbezoeken opgeven levert 4 museumbezoeken op.";"opofferingskosten 1 bedrijfsbezoek = 4/3 museumbezoek";Bereken het totaalbudget voor de klas;"30 x 160 = 4800 euro totaalbudget.";;Bepaal de kosten per type excursie voor de hele klas;"Museum: 30 x 12 = 360 per bezoek. Bedrijf: 30 x 16 = 480 per bezoek.";;Bereken het gemiddelde excursiebudget;"(12 + 16) / 2 = 14 euro gemiddeld per excursie.";;Waarom is het excursiebudget per leerling een keuzeprobleem?;Hoeveel museum- en bedrijfsbezoeken kan elke leerling maximaal doen?;Hoeveel museumbezoeken kost een extra bedrijfsbezoek?;Hoeveel kost een excursie voor de hele klas?;Wat is de gemiddelde excursieprijs?;1;"Herken het keuzeprobleem verkeerd";"Het totale budget is 4800 euro. Museumbezoek: 4800/12 = 400, bedrijfsbezoek: 4800/16 = 300. Het budget is niet per leerling berekend.";"q1 = 400, q2 = 300";cause;"De school heeft 4800 euro voor 30 leerlingen, budget per leerling = 160 euro";reasoning;"Budgetlijn: 160 = 12q1 + 16q2, snijpunten: 13 museum of 10 bedrijf";reasoning;"Ruilvoet = 12/16 = 3/4 museumbezoek per bedrijfsbezoek";effect;"1 bedrijfsbezoek opgeven levert 4/3 museumbezoek op";effect;"De school weegt de educatieve waarde af tegen de kosten";;
7;C;"Verandering vaststellen → Effect op budgetlijn bepalen → Gevolgen voor opofferingskosten analyseren";"Door de oorlog in Oekraine stijgt de gasprijs van 1,50 naar 3,00 euro per m3. Een huishouden heeft 300 euro per maand voor gas en elektriciteit (0,30 euro per kWh). Het inkomen verandert niet. Wat zijn de gevolgen voor de budgetlijn en de opofferingskosten?";Stel de verandering vast;"De gasprijs verdubbelt van 1,50 naar 3,00 euro per m3. De elektriciteitsprijs (0,30 euro per kWh) en het budget (300 euro) blijven gelijk. Dit is een relatieve prijsverandering.";;Bepaal het effect op de budgetlijn;"De budgetlijn kantelt naar binnen rond het snijpunt op de elektriciteitsas. Oud snijpunt gas: 300/1,50 = 200 m3. Nieuw snijpunt gas: 300/3,00 = 100 m3. Snijpunt elektriciteit blijft: 300/0,30 = 1000 kWh.";"gas: 200→100 m3, elektriciteit: 1000 kWh";Analyseer de gevolgen voor opofferingskosten;"De ruilvoet verandert: oud = 1,50/0,30 = 5, nieuw = 3,00/0,30 = 10. De opofferingskosten van 1 m3 gas stijgen van 5 naar 10 kWh elektriciteit. Gas wordt relatief duurder.";"opofferingskosten 1 m3 gas: 5→10 kWh";Bereken de procentuele prijsstijging van gas;"(3,00 - 1,50) / 1,50 x 100% = 100% stijging.";;Bepaal het koopkrachtverlies;"Het huishouden kan nu maar 100 m3 gas kopen in plaats van 200 m3.";;Bereken de gemiddelde energieprijs;"(3,00 + 0,30) / 2 = 1,65 euro gemiddeld per eenheid.";;Welke prijs verandert en welke blijft gelijk?;Hoe verandert de budgetlijn door de gasprijs stijging?;Hoe veranderen de opofferingskosten van gas in termen van elektriciteit?;Met hoeveel procent stijgt de gasprijs?;Hoeveel minder gas kan het huishouden maximaal kopen?;3;"Analyseer de opofferingskosten verkeerd";"De opofferingskosten van 1 m3 gas stijgen van 1,50 naar 3,00 euro. De opofferingskosten worden uitgedrukt in euro's, niet in het alternatieve goed.";"opofferingskosten = 3,00 euro";cause;"Gasprijs stijgt van 1,50 naar 3,00 euro, elektriciteit en budget onveranderd";reasoning;"De budgetlijn kantelt naar binnen rond het elektriciteitssnijpunt";reasoning;"De ruilvoet stijgt van 5 naar 10 kWh per m3 gas";effect;"1 m3 gas opgeven levert nu 10 kWh elektriciteit op in plaats van 5";effect;"Gas is relatief duurder geworden: de opofferingskosten zijn verdubbeld";;
8;C;"Verandering vaststellen → Effect op budgetlijn bepalen → Gevolgen voor opofferingskosten analyseren";"De gemeente verlaagt de huur van sportvelden van 80 naar 40 euro per uur. Een sportvereniging heeft 2400 euro per maand voor de huur van sportvelden en een gymzaal (60 euro per uur). Wat verandert er voor de budgetlijn en de opofferingskosten?";Stel de verandering vast;"De huur van sportvelden daalt van 80 naar 40 euro per uur (halvering). De huur van de gymzaal (60 euro) en het budget (2400 euro) blijven gelijk.";;Bepaal het effect op de budgetlijn;"De budgetlijn kantelt naar buiten rond het snijpunt op de gymzaalas. Oud snijpunt sportveld: 2400/80 = 30 uur. Nieuw snijpunt sportveld: 2400/40 = 60 uur. Snijpunt gymzaal blijft: 2400/60 = 40 uur.";"sportveld: 30→60 uur, gymzaal: 40 uur";Analyseer de gevolgen voor opofferingskosten;"De ruilvoet verandert: oud = 80/60 = 4/3, nieuw = 40/60 = 2/3. De opofferingskosten van 1 uur sportveld dalen van 4/3 naar 2/3 uur gymzaal. Het sportveld is relatief goedkoper geworden.";"opofferingskosten sportveld: 4/3→2/3 uur gymzaal";Bereken de extra sportvelduren;"60 - 30 = 30 extra uur sportveld beschikbaar.";;Bepaal de besparing per uur;"80 - 40 = 40 euro besparing per uur sportveld.";;Bereken het totaalbudget als percentage van de oude situatie;"De vereniging kan nu 60 + 40 = 100 uur huren, versus 30 + 40 = 70 uur oud.";;Welke prijs verandert en welke blijft gelijk?;Hoe verschuift de budgetlijn door de huurverlaging?;Hoe veranderen de opofferingskosten van een uur sportveld?;Hoeveel extra sportvelduren kan de vereniging huren?;Hoeveel bespaart de vereniging per uur sportveld?;2;"Bepaal het effect verkeerd";"De budgetlijn verschuift evenwijdig naar buiten, want de kosten dalen. Beide snijpunten verdubbelen: sportveld naar 60 uur en gymzaal naar 80 uur.";"sportveld: 60, gymzaal: 80";cause;"Huur sportveld daalt van 80 naar 40 euro, gymzaal en budget onveranderd";reasoning;"Alleen het snijpunt op de sportveldas verandert";reasoning;"De budgetlijn kantelt naar buiten rond het gymzaalsnijpunt";effect;"De ruilvoet daalt van 4/3 naar 2/3 uur gymzaal per uur sportveld";effect;"Het sportveld is relatief goedkoper: de opofferingskosten halveren";;
9;C;"Verandering vaststellen → Effect op budgetlijn bepalen → Gevolgen voor opofferingskosten analyseren";"Een gezin heeft 500 euro per maand voor boodschappen en uiteten. Door inflatie stijgt de prijs van boodschappen van 10 naar 12,50 euro per tas en de prijs van uiteten van 25 naar 31,25 euro per keer. Het budget blijft gelijk. Wat verandert er?";Stel de verandering vast;"Beide prijzen stijgen met 25%: boodschappen van 10 naar 12,50 euro, uiteten van 25 naar 31,25 euro. Het budget blijft 500 euro. De prijsverhouding verandert niet: 10/25 = 12,50/31,25 = 0,4.";;Bepaal het effect op de budgetlijn;"De budgetlijn verschuift evenwijdig naar binnen (richting oorsprong). Oud: q1 = 500/10 = 50 tassen, q2 = 500/25 = 20 keer uiteten. Nieuw: q1 = 500/12,50 = 40 tassen, q2 = 500/31,25 = 16 keer uiteten.";"q1: 50→40, q2: 20→16";Analyseer de gevolgen voor opofferingskosten;"De ruilvoet verandert niet: oud = 10/25 = 0,4, nieuw = 12,50/31,25 = 0,4. De opofferingskosten van 1 keer uiteten blijven 2,5 tassen boodschappen. Maar het gezin kan van alles minder kopen — er is koopkrachtverlies.";"opofferingskosten onveranderd, koopkracht daalt 20%";Bereken het procentuele koopkrachtverlies;"(50-40)/50 x 100% = 20% minder boodschappen. (20-16)/20 x 100% = 20% minder uiteten.";;Bepaal het budget dat nodig is om dezelfde hoeveelheid te kopen;"50 x 12,50 + 0 = 625 euro, of 0 + 20 x 31,25 = 625 euro. Het gezin heeft 125 euro tekort.";;Bereken de nieuwe gemiddelde prijs;"(12,50 + 31,25) / 2 = 21,88 euro gemiddeld.";;Hoe veranderen de twee prijzen en in welke verhouding?;Verschuift de budgetlijn evenwijdig of kantelt ze?;Veranderen de opofferingskosten als beide prijzen met hetzelfde percentage stijgen?;Hoeveel procent minder kan het gezin van elk goed kopen?;Hoeveel extra budget zou het gezin nodig hebben om hetzelfde te kunnen kopen?;1;"Stel de verandering verkeerd vast";"Boodschappen stijgen met 2,50 euro (25%) en uiteten met 6,25 euro (25%). Omdat de euro-bedragen verschillen, verandert de prijsverhouding. De budgetlijn kantelt.";;cause;"Beide prijzen stijgen met 25%, het budget blijft 500 euro";reasoning;"De prijsverhouding verandert niet: 10/25 = 12,50/31,25 = 0,4";reasoning;"De budgetlijn verschuift evenwijdig naar binnen";effect;"Het gezin kan van beide goederen 20% minder kopen";effect;"De opofferingskosten blijven gelijk, maar de koopkracht daalt";;
10;D;"Schaarse middelen inventariseren → Alternatieven vergelijken → Optimale keuze beargumenteren";"De overheid heeft 10 miljoen euro beschikbaar. Ze kan investeren in 50 windturbines (200.000 euro per stuk, levert 500 MWh per jaar) of 2000 zonnepanelen-installaties (5000 euro per stuk, levert 8 MWh per jaar). Welke investering is het meest efficient?";Inventariseer de schaarse middelen;"Het budget is 10 miljoen euro. Dit is schaars: de overheid kan niet beide opties volledig uitvoeren. Ze moet kiezen hoe ze het budget verdeelt over windturbines en zonnepanelen.";;Vergelijk de alternatieven;"Windturbines: 50 stuks x 500 MWh = 25.000 MWh per jaar. Kosten per MWh: 200.000/500 = 400 euro. Zonnepanelen: 2000 stuks x 8 MWh = 16.000 MWh per jaar. Kosten per MWh: 5000/8 = 625 euro.";"wind: 400 euro/MWh, zon: 625 euro/MWh";Beargumenteer de optimale keuze;"Per euro levert wind meer energie op: 25.000 MWh vs. 16.000 MWh voor hetzelfde budget. De opofferingskosten van 1 zonnepaneelinstallatie zijn 5000/200.000 = 0,025 windturbine, oftewel 0,025 x 500 = 12,5 MWh windenergie. Omdat een zonnepaneel maar 8 MWh oplevert, is wind efficienter.";"opofferingskosten 1 zonnepaneel = 12,5 MWh wind > 8 MWh zon";Bereken de CO2-besparing;"Windturbines besparen 25.000 x 0,5 = 12.500 ton CO2 per jaar.";;Bepaal de terugverdientijd;"Bij een stroomprijs van 0,10 euro/kWh verdient wind terug in 200.000/(500.000 x 0,10) = 4 jaar.";;Bereken de prijs per installatie inclusief onderhoud;"Onderhoud kost 10% per jaar extra, dus wind: 200.000 + 20.000 = 220.000 per stuk.";;Wat is het schaarse middel en wat zijn de twee opties?;Hoeveel energie levert elke optie op per geinvesteerde euro?;Waarom is wind in deze vergelijking de efficientere keuze?;Hoeveel CO2 wordt er bespaard per optie?;Hoe lang duurt het voordat de investering is terugverdiend?;2;"Vergelijk de alternatieven verkeerd";"Wind levert 50 x 200.000 = 10 miljoen op en zon levert 2000 x 5000 = 10 miljoen op. Beide kosten evenveel, dus ze zijn gelijk.";;cause;"De overheid heeft 10 miljoen euro voor windturbines of zonnepanelen";reasoning;"Wind: 25.000 MWh voor 10 mln, zon: 16.000 MWh voor 10 mln";reasoning;"Per euro levert wind meer energie op: 400 vs. 625 euro per MWh";effect;"De opofferingskosten van zonnepanelen zijn hoger dan hun opbrengst";effect;"Wind is de efficientere keuze op basis van energieopbrengst per euro";;
